ADID,CreativeUrl,Currency Code,Spend,Impressions,StartDate,EndDate,Spend,Duration of Ad,Impressions
1517ab4c8202821d2092a6436d00c687180a1d96012f0c74679fb70cd5d51b00,https://www.snap.com/political-ads/asset/4fa80b0f64bc2d799fed20980f8f0ed333c0c091254afb8aab0e303fdcfafc64?mediaType=mp4,AUD,3023,702611,25-Jan-2021,28-Feb-2021,3023,34,702611
35ed082f3ab1ffa88ee405f45868fa0c2752a095318e4a191ab68cfd90633e98,https://www.snap.com/political-ads/asset/7d93e70ac55b7b6dae6d49e10b8b9f6661b42ddc4cbbb25647225ae8a0173df9?mediaType=png,USD,2919,1026274,8-Feb-2021,27-Feb-2021,2919,19,1026274
bc8c74b7ba86963f2374242be19daff3bbbd8968741202c1486d4c3dc3110340,https://www.snap.com/political-ads/asset/c1d7f0ef4357df558df33e12feac957069ab88684db427ee05253afc20c8da59?mediaType=mp4,USD,2918,190613,4-Feb-2021,1-Mar-2021,2918,25,190613
814e1997c0438656689e25509252d263244b5ff60069766c7196ae8cd92cade7,https://www.snap.com/political-ads/asset/1485b01804d2d85d53412e7e9c581a8afdca90412df2ab5011f43cdd5ec0e211?mediaType=mp4,USD,2769,777058,10-Feb-2021,3-Mar-2021,2769,21,777058
2727043bad453a5a352e723621b2198bbb7c8acf8296b41e44a46eb497d2d14a,https://www.snap.com/political-ads/asset/8c660d12b5150e4ff4591811b41aeb68add2642f48804af855660cd3522b1e31?mediaType=png,USD,2488,720463,8-Feb-2021,27-Feb-2021,2488,19,720463
18da7b53f3bcc6e4f4f1b1c96d3ffbd5877a695fa5539969808f1b124226a6d5,https://www.snap.com/political-ads/asset/a3c06379a8e9d89913e9d772868ba1f2208ec9b412312422e25a9d50c921e759?mediaType=mp4,USD,2475,213913,12-Feb-2021,2-Mar-2021,2475,18,213913
7cd8a9d4b3a6397b4d2cacfa2280f7269eea25db81bbc7f49970c7edb2682d0f,https://www.snap.com/political-ads/asset/9bcd1f008f87f1a94c3370ebb9bfdda27bce46b258c17a830349c7d7df2f963b?mediaType=mp4,USD,2472,334147,2-Feb-2021,4-Mar-2021,2472,30,334147
68d8f2f6508a6780f398791f843dd29d91c33b8248e8ed1c497eb00dc59a32e8,https://www.snap.com/political-ads/asset/14103ebde8b7ade9c5ab3c72efdb07a3807012bc54fbc2dc64c92210c617bf16?mediaType=mp4,USD,2456,168207,3-Feb-2021,1-Mar-2021,2456,26,168207
eb47e99e5d0e34b0cf0e52289b293993cd9f7298d2c3050ba42c37a71c9fdf07,https://www.snap.com/political-ads/asset/4fc1ccc3a685cb0d6400e2598282a70d7baae3216df2c9d2679dac24828d7893?mediaType=mp4,USD,2437,151379,4-Feb-2021,1-Mar-2021,2437,25,151379
10906a603277eb66469ab9c2d510399588a47aaae7b5037fecda29f085f72e44,https://www.snap.com/political-ads/asset/a3c06379a8e9d89913e9d772868ba1f2208ec9b412312422e25a9d50c921e759?mediaType=mp4,USD,2362,549218,12-Feb-2021,2-Mar-2021,2362,18,549218
f3b22409a78f5c268ed83ab5509ccee4f4a86d85df8affd5a74673d6adc6385b,https://www.snap.com/political-ads/asset/bdd5de77c79cec3952276b1341ea68f1752e770e1c4998da9e0b20be0e373b30?mediaType=mp4,USD,2303,199754,12-Feb-2021,2-Mar-2021,2303,18,199754
39dcce8810318cdb6d5c174da79da2cab9d55000fdf44547646eb5a578d54aa6,https://www.snap.com/political-ads/asset/91a1d1574ac0e57d21289304c00ed031c294e3825111c36f1659644306f5c84c?mediaType=png,USD,2292,526488,8-Feb-2021,27-Feb-2021,2292,19,526488
1d7c8543087596a9cf3d243e54d846cef1ee813fdc86302ddaf16ff4ac695121,https://www.snap.com/political-ads/asset/a25c1a9e5343a5a070ec167069fd23b96bc4250af41030da8d5dc03da8c61f70?mediaType=mp4,USD,2283,531051,12-Feb-2021,2-Mar-2021,2283,18,531051
9e885c5d5f426ea5b28f1a0ab0fb421c7288a40da191a43d36a833a8ae1dae70,https://www.snap.com/political-ads/asset/5f73e430a283a99e8d3a4eb1a6cc270b7d6863f57d40b7a9757f312a50d9f758?mediaType=mp4,USD,2217,148465,3-Feb-2021,1-Mar-2021,2217,26,148465
50a72decb4744f32e0aa0f222bf8b92f6b77e2e9c1139c5d78251066ed8098dc,https://www.snap.com/political-ads/asset/3b5f520b20366e20b77892e2f7d4892c2a6a1a06e437e6558416a40863a9bd13?mediaType=mp4,USD,2150,652062,16-Dec-2020,2-Mar-2021,2150,76,652062
67828275c97a9045a919f853ee47d3e524f3c39ea0047ad1261711ab425f61b3,https://www.snap.com/political-ads/asset/086d28c7cfa20b16d593ee5ab996221330b2941aa8d99f94a9834afb3a2ebd4c?mediaType=png,USD,2112,762454,8-Feb-2021,27-Feb-2021,2112,19,762454
c3f2e2751112de69d207c9a7e9a8c099d70ba99781b6ee2950f59bfb378444ae,https://www.snap.com/political-ads/asset/a25c1a9e5343a5a070ec167069fd23b96bc4250af41030da8d5dc03da8c61f70?mediaType=mp4,USD,2112,184408,12-Feb-2021,2-Mar-2021,2112,18,184408
f751435873250a1e54f6b63f73b7ceb8bb8f8008685c3c041e00bccf5fd6a9b3,https://www.snap.com/political-ads/asset/ecd0204faa161cde30c3b88c2c1d5c25f0c3c2e59d7ff46b298cd79d4c87097a?mediaType=mp4,USD,2079,139766,3-Feb-2021,1-Mar-2021,2079,26,139766
75625ef1a4d4e8c07cb3516da6582c769de95445c0d139ec08e115a59af25ca9,https://www.snap.com/political-ads/asset/6f3252bb95029869160c73b55d472859a1c5832f7a41438a337d65f4c9817dc6?mediaType=mp4,USD,2000,1333517,11-Feb-2021,22-Feb-2021,2000,11,1333517
457f2f25c54b9c1c401e56c0b45d95d608cebce92227302986f63447d01eeb67,https://www.snap.com/political-ads/asset/230d8a38b5f3960fb2e4ddb61e8397fe09ea689f029779a500f41374ea1e6c85?mediaType=mp4,USD,2000,1115009,11-Feb-2021,22-Feb-2021,2000,11,1115009
d7823482eb8cda2530012764e51f1926ff5bfdb0ee5d0004f00e9733a10c1ffa,https://www.snap.com/political-ads/asset/4fa80b0f64bc2d799fed20980f8f0ed333c0c091254afb8aab0e303fdcfafc64?mediaType=mp4,AUD,1802,461286,25-Jan-2021,28-Feb-2021,1802,34,461286
945e723ed66231178ab7c617245268cc52daf00511ef38b912a8e72b209c5d10,https://www.snap.com/political-ads/asset/8b2a68ae8cc15231cd76e98e557e9b61e1b3af8f13f5ecc7f7d22882f0395d16?mediaType=png,USD,1781,548869,16-Dec-2020,16-Feb-2021,1781,62,548869
15005f9e104845e1585a10a7e746f9d939dfb2efcaf2ead8b0b46b492b4c2c87,https://www.snap.com/political-ads/asset/d12a27bc6acec478eeaabca6aa92201961f689636c2b3b894645692daa4966b7?mediaType=mp4,USD,1760,147984,2-Feb-2021,12-Feb-2021,1760,10,147984
0a305d8424acf582755a0a28d9c9cf546695ccf763da46b5d04029cffe713b48,https://www.snap.com/political-ads/asset/92a5bc66df08d1ad52eec725dcee462395184e35354ba1940395f06798dcba41?mediaType=mp4,USD,1757,107101,4-Feb-2021,1-Mar-2021,1757,25,107101
baf5d785f0eee6e35fd891063b1c1fb043eadc83fdf05d9916c4339f4425b808,https://www.snap.com/political-ads/asset/ef21a542e582d1e079cb8ab9475fb2e8f5620787d4c66a94153b8d08f2543395?mediaType=mp4,USD,1756,308108,23-Dec-2020,5-Jan-2021,1756,13,308108
371438577374824a51fdf8c31a0074d460772000fe26758331ce676435c9f440,https://www.snap.com/political-ads/asset/369e19e98b52390f9fece95d5d120612d1bafa9dba985458c4fa40acf6529580?mediaType=mp4,USD,1712,254842,2-Feb-2021,4-Mar-2021,1712,30,254842
